,0,0.1,0.2,0.3,0
MAR00004,0.5629108,0.010636115,0.025520587,0.12398859,0.3375907
MAR00005,0.07242064,0.16251454,0.042431623,0.0740113,0.24770293
MAR00009,0.0050333263,0.19207922,0.033763986,0.26251277,0.1285759
MAR00010,0.07242064,0.1625146,0.04243164,0.07401138,0.2477028
MAR00019,0.99428385,0.99832696,0.6125482,0.24842274,0.90827775
MAR00039,0.7759968,0.8708345,0.82186157,0.9715227,0.98424214
MAR00040,0.9994166,0.9997924,0.99864227,0.99981683,0.99976295
MAR00041,0.9998832,0.99966824,0.9992638,0.9999088,0.9996136
MAR00045,0.9989465,0.9995285,0.9995635,0.9999088,0.9994692
MAR00047,0.99974304,0.9997422,0.99986625,0.9999206,0.9998691
MAR00048,0.99835783,0.99848455,0.9996736,0.99978656,0.9991026
MAR00052,0.9993144,0.9999089,0.99956435,0.9997718,0.9998109
MAR00054,0.011171492,0.03266563,0.9098746,0.90944237,0.0018396291
MAR00056,0.004356285,0.0045058276,0.39301297,0.6823143,0.17269267
MAR00058,0.9992574,0.9999006,0.9995396,0.9997503,0.9998087
MAR00059,0.018591452,0.014240447,0.0030732567,0.011966109,0.035481185
MAR00061,0.9997943,0.9999249,0.9998925,0.99995065,0.99992275
MAR00065,0.9992574,0.9999006,0.9995396,0.9997503,0.9998087
MAR00067,0.99901867,0.99988985,0.99963045,0.99936455,0.999905
MAR00069,0.9981754,0.7217415,0.9674991,0.99024665,0.9679307
MAR00073,0.504341,0.16368368,0.3324252,0.8120001,0.16409956
MAR00074,0.01781761,0.035641506,0.03200739,0.08787906,0.014221156
MAR00075,0.779663,0.82721496,0.8173173,0.97567874,0.9061104
MAR00077,0.9917989,0.7360019,0.71681434,0.98691446,0.81540406
MAR00078,0.99982965,0.9989919,0.9993018,0.99996936,0.9998357
MAR00080,0.99977046,0.9999771,0.99985385,0.99995196,0.9999602
MAR00081,0.9992661,0.9976083,0.99443024,0.9995962,0.99385864
MAR00082,0.9992661,0.9976083,0.99443024,0.9995962,0.99385864
MAR00083,0.11038705,0.00035267725,0.008420101,0.22754629,0.010992395
MAR00084,0.11038705,0.00035267725,0.008420101,0.22754629,0.010992395
MAR00085,0.22567739,0.0023333682,0.02072998,0.28680092,0.016760051
MAR00086,0.99341303,0.9967493,0.9960167,0.9994547,0.97914803
MAR00089,0.8295296,0.9202504,0.9292054,0.8436928,0.9176098
MAR00090,0.8295296,0.9202504,0.9292054,0.8436928,0.9176098
MAR00091,0.025909418,0.06381879,0.042941213,0.122790255,0.017080698
MAR00092,0.08300925,0.014472861,0.026212392,0.15788153,0.0074045947
MAR00094,0.999884,0.9999536,0.99989974,0.99974424,0.9999733
MAR00095,0.9870472,0.9977302,0.9921165,0.9889858,0.99427783
MAR00099,0.8295296,0.9202504,0.9292054,0.8436928,0.9176098
MAR00100,0.8295296,0.9202504,0.9292054,0.8436928,0.9176098
MAR00104,0.9949214,0.99434894,0.99652654,0.99895966,0.99771214
MAR00109,0.99456054,0.99451065,0.99611294,0.998698,0.9974896
MAR00112,0.9651532,0.9096571,0.96636957,0.9798809,0.89829457
MAR00113,0.99384755,0.9947402,0.9987987,0.9898985,0.9830116
MAR00114,0.8437766,0.9161569,0.984124,0.9656298,0.8892813
MAR00115,0.9995376,0.9984409,0.9993001,0.9991554,0.99851483
MAR00116,0.9997693,0.99987364,0.99984527,0.99980706,0.9998474
MAR00117,0.99586934,0.99787366,0.99939764,0.99277496,0.99646604
MAR00118,0.95566493,0.90835947,0.98807985,0.9499336,0.9466176
MAR00119,0.9976695,0.99974996,0.9970842,0.99926955,0.99918944
MAR00120,0.32946593,0.033643566,0.30527082,0.2491689,0.55783576
MAR00122,0.20732915,0.03265043,0.03916617,0.18809517,0.013832438
MAR00123,0.9828723,0.98409283,0.85947603,0.87836355,0.8406868
