,0
399,MAR06753
400,MAR03026
401,MAR01262
402,MAR06761
403,MAR03280
404,MAR12290
405,MAR02712
406,MAR01124
407,MAR00234
408,MAR07039
409,MAR03759
410,MAR11761
411,MAR06648
412,MAR02380
413,MAR00422
414,MAR05592
415,MAR04713
416,MAR09963
417,MAR05611
418,MAR01327
419,MAR08443
420,MAR00939
421,MAR05087
422,MAR04971
423,MAR02606
424,MAR01729
425,MAR08109
426,MAR12248
427,MAR01337
428,MAR05371
429,MAR00627
430,MAR04333
431,MAR04639
432,MAR08912
433,MAR07747
434,MAR09895
435,MAR02350
436,MAR02614
437,MAR05917
438,MAR02386
439,MAR00737
440,MAR03925
441,MAR06050
442,MAR02475
443,MAR00919
444,MAR01495
445,MAR09606
446,MAR12093
447,MAR12282
448,MAR08143
449,MAR04671
450,MAR07215
451,MAR09928
452,MAR00208
453,MAR04935
454,MAR03144
455,MAR11747
456,MAR06869
457,MAR02592
458,MAR04744
459,MAR02930
460,MAR11795
461,MAR04592
462,MAR02363
463,MAR12005
464,MAR12303
465,MAR04257
466,MAR00137
467,MAR05085
468,MAR04319
469,MAR06016
470,MAR01134
471,MAR10049
472,MAR02225
473,MAR03034
474,MAR01962
475,MAR00260
476,MAR00061
477,MAR08476
478,MAR02662
479,MAR06867
480,MAR05380
481,MAR06902
482,MAR08083
483,MAR02057
484,MAR10097
485,MAR03296
486,MAR06364
487,MAR07356
488,MAR01583
489,MAR01263
490,MAR07822
491,MAR00456
492,MAR09803
493,MAR07978
494,MAR00392
495,MAR02439
496,MAR06740
497,MAR04283
498,MAR02739
499,MAR02715
500,MAR02051
501,MAR02340
502,MAR04265
503,MAR04358
504,MAR01834
505,MAR07688
506,MAR03872
507,MAR04059
508,MAR00115
509,MAR04447
510,MAR04008
511,MAR02371
512,MAR01534
513,MAR07086
514,MAR01160
515,MAR06596
516,MAR07020
517,MAR11565
518,MAR02771
519,MAR05124
520,MAR00891
521,MAR00253
522,MAR05062
523,MAR03014
524,MAR07434
525,MAR02295
526,MAR07078
527,MAR05666
528,MAR04610
529,MAR05569
530,MAR06329
531,MAR00228
532,MAR05835
533,MAR07922
534,MAR00499
535,MAR03179
536,MAR05273
537,MAR05791
538,MAR08219
539,MAR02946
540,MAR02741
541,MAR03013
542,MAR06677
543,MAR03732
544,MAR04933
545,MAR04420
546,MAR05998
547,MAR00326
548,MAR00837
549,MAR00311
550,MAR08942
551,MAR01540
552,MAR11915
553,MAR08139
554,MAR04944
555,MAR02242
556,MAR06353
557,MAR05620
558,MAR08036
559,MAR02467
560,MAR05089
561,MAR04271
562,MAR01646
563,MAR03660
564,MAR04513
565,MAR06563
566,MAR00241
567,MAR02121
568,MAR06362
569,MAR03655
570,MAR01959
571,MAR08110
572,MAR09015
573,MAR06897
574,MAR01727
575,MAR01128
576,MAR03819
577,MAR06015
578,MAR06921
579,MAR07016
580,MAR06783
581,MAR08751
582,MAR03132
583,MAR04449
584,MAR05001
585,MAR07703
586,MAR01453
587,MAR09571
588,MAR04332
589,MAR04679
590,MAR04819
591,MAR11966
592,MAR02256
593,MAR01232
594,MAR03104
595,MAR08463
596,MAR02975
597,MAR00385
598,MAR03002
599,MAR04642
600,MAR02263
601,MAR06791
602,MAR01673
603,MAR04179
604,MAR11414
605,MAR00170
606,MAR00801
607,MAR03151
608,MAR06377
609,MAR00292
610,MAR03011
611,MAR02701
612,MAR07014
613,MAR02229
614,MAR00416
615,MAR05614
616,MAR07032
617,MAR04534
618,MAR06875
619,MAR03106
620,MAR02735
621,MAR12002
622,MAR03119
623,MAR06775
624,MAR03997
625,MAR00149
626,MAR07861
627,MAR08933
628,MAR00194
629,MAR00351
630,MAR03019
631,MAR01940
632,MAR07808
633,MAR03708
634,MAR00165
635,MAR08150
636,MAR02889
637,MAR05408
638,MAR02028
639,MAR02612
640,MAR05679
641,MAR01001
642,MAR05715
643,MAR03433
644,MAR07553
645,MAR05143
646,MAR07850
647,MAR02146
648,MAR02151
649,MAR06779
650,MAR03839
651,MAR04715
652,MAR03665
653,MAR04172
654,MAR04399
655,MAR06755
656,MAR05843
657,MAR05636
658,MAR12271
659,MAR00104
660,MAR01210
661,MAR05054
662,MAR09610
663,MAR07338
664,MAR01247
665,MAR00927
666,MAR06472
667,MAR08911
668,MAR06429
669,MAR04649
670,MAR07131
671,MAR00364
672,MAR06868
673,MAR10147
674,MAR05847
675,MAR03240
676,MAR03367
677,MAR02221
678,MAR01916
679,MAR06328
680,MAR03638
681,MAR06363
682,MAR02251
683,MAR11623
684,MAR08923
685,MAR03729
686,MAR06574
687,MAR02319
688,MAR10124
689,MAR03520
690,MAR04844
691,MAR03678
692,MAR05956
693,MAR00460
694,MAR03940
695,MAR06045
696,MAR03883
697,MAR08424
698,MAR08750
699,MAR04250
700,MAR04290
701,MAR04444
702,MAR02239
703,MAR09060
704,MAR05343
705,MAR01743
706,MAR03498
707,MAR07674
708,MAR08465
709,MAR06816
710,MAR08034
711,MAR00125
712,MAR03109
713,MAR06013
714,MAR12165
715,MAR02540
716,MAR07364
717,MAR00126
718,MAR03757
719,MAR00294
720,MAR07829
721,MAR03661
722,MAR04370
723,MAR08353
724,MAR05256
725,MAR03634
726,MAR01009
727,MAR02391
728,MAR08498
729,MAR00400
730,MAR02924
731,MAR01153
732,MAR09949
733,MAR00191
734,MAR05335
735,MAR06544
736,MAR03286
737,MAR03672
738,MAR01064
739,MAR00087
740,MAR03406
741,MAR01031
742,MAR04504
743,MAR07880
744,MAR07986
745,MAR00418
746,MAR03032
747,MAR04582
748,MAR07034
749,MAR04044
750,MAR11700
751,MAR09489
752,MAR02155
753,MAR00516
754,MAR07762
755,MAR01096
756,MAR04670
757,MAR00060
758,MAR05364
759,MAR11582
760,MAR08609
761,MAR06033
762,MAR05083
763,MAR00936
764,MAR06486
765,MAR06649
766,MAR07597
767,MAR00058
768,MAR02258
769,MAR12173
770,MAR01318
771,MAR04182
772,MAR03899
773,MAR07651
774,MAR01186
775,MAR01746
776,MAR06438
777,MAR12239
778,MAR04967
779,MAR01610
780,MAR04576
781,MAR02210
782,MAR08152
783,MAR01105
784,MAR00382
785,MAR08460
786,MAR04973
787,MAR02413
788,MAR11486
789,MAR02584
790,MAR09798
791,MAR09807
792,MAR04430
793,MAR04755
794,MAR00278
795,MAR09870
796,MAR04200
797,MAR00249
798,MAR03493
799,MAR02330
800,MAR00969
801,MAR05420
802,MAR03701
803,MAR05855
804,MAR10110
805,MAR05108
806,MAR06909
807,MAR05747
808,MAR06023
809,MAR04896
810,MAR00648
811,MAR06036
812,MAR09959
813,MAR00263
814,MAR00144
815,MAR04198
816,MAR02332
817,MAR06595
818,MAR01167
819,MAR12305
820,MAR02055
821,MAR09939
822,MAR00417
823,MAR02730
824,MAR00390
825,MAR11316
826,MAR01910
827,MAR00190
828,MAR06553
829,MAR09889
830,MAR07849
831,MAR10393
832,MAR08046
833,MAR02530
834,MAR01614
835,MAR02740
836,MAR01502
837,MAR02593
838,MAR05995
839,MAR07957
840,MAR00271
841,MAR00330
842,MAR05455
843,MAR03522
844,MAR00534
845,MAR04589
846,MAR12294
847,MAR07521
848,MAR02418
849,MAR00413
850,MAR11480
851,MAR03897
852,MAR00360
853,MAR01314
854,MAR03117
855,MAR03737
856,MAR08806
857,MAR01190
858,MAR00298
859,MAR06829
860,MAR01659
861,MAR03856
862,MAR11394
863,MAR05595
864,MAR00675
865,MAR11625
866,MAR05915
867,MAR11357
868,MAR04630
869,MAR06336
870,MAR07780
871,MAR12154
872,MAR08830
873,MAR05713
874,MAR00328
875,MAR01089
876,MAR00438
877,MAR01233
878,MAR05046
879,MAR05425
880,MAR02686
881,MAR03630
882,MAR04595
883,MAR02465
884,MAR02061
885,MAR00773
886,MAR10014
