,0,0.1,0.2,0.3,0
MAR00004,0.01211433,0.0059545822,0.90195256,0.5871018,0.38145337
MAR00005,0.0759749,0.0895115,0.096897446,0.013460682,0.12856549
MAR00009,0.07627806,0.016002117,0.2579877,0.021991815,0.17062534
MAR00010,0.0759749,0.0895115,0.096897446,0.013460682,0.12856558
MAR00018,0.99952567,0.999884,0.9987613,0.9876397,0.9944214
MAR00019,0.88456655,0.34755433,0.9903319,0.79447836,0.6860691
MAR00040,0.9992084,0.99857366,0.9978125,0.9994142,0.9994112
MAR00041,0.99930763,0.9989537,0.99843365,0.99966013,0.99983406
MAR00045,0.99775153,0.9993586,0.9984157,0.99953747,0.99792445
MAR00052,0.99977404,0.9992305,0.9997764,0.9994487,0.99883944
MAR00054,0.042772442,0.0012572022,0.14483264,0.013613739,0.8250577
MAR00056,0.6116084,0.029518198,0.2565664,0.114173025,0.12131591
MAR00057,0.9925644,0.57057357,0.04592566,0.9699081,0.96335584
MAR00058,0.9997688,0.99921083,0.99976236,0.9994191,0.9987702
MAR00059,0.0005119206,0.0009816904,0.00052633684,0.00025206775,0.0051822094
MAR00061,0.9996915,0.9998816,0.9996244,0.9998776,0.9998349
MAR00063,0.2396358,0.763161,0.06029043,0.7988954,0.30003154
MAR00065,0.9998017,0.99929154,0.9997869,0.9994697,0.9988758
MAR00067,0.99881953,0.99672806,0.99962425,0.9996105,0.9985862
MAR00073,0.010837587,0.11551149,0.023580382,0.21189702,0.07632975
MAR00074,0.039559864,0.17367558,0.09668237,0.30139723,0.0039958954
MAR00075,0.90983504,0.5835786,0.0021891461,0.9129741,0.9417896
MAR00077,0.91490376,0.4021593,0.35813037,0.51523286,0.7752133
MAR00078,0.9999455,0.9998357,0.9999608,0.9999912,0.9999974
MAR00079,0.9999275,0.9999329,0.9998846,0.999918,0.9999467
MAR00080,0.9999485,0.9998124,0.9998548,0.9997857,0.99991095
MAR00081,0.996445,0.99008745,0.9972562,0.9985507,0.9972072
MAR00082,0.996445,0.99008745,0.9972562,0.9985507,0.9972072
MAR00086,0.99774975,0.99765164,0.9922429,0.9958125,0.98823917
MAR00089,0.8032174,0.66209453,0.8483983,0.8368768,0.7714102
MAR00090,0.006179663,0.0030567164,0.0053118095,0.0038610208,0.0032642938
MAR00091,0.03955988,0.17367558,0.09668235,0.30139723,0.0039958935
MAR00092,0.012810536,0.05644848,0.011298424,0.045288738,0.00916149
MAR00094,0.9998054,0.9997948,0.99944276,0.99977297,0.99946076
MAR00096,0.93931645,0.9718479,0.9949344,0.98483384,0.93645024
MAR00097,0.99882144,0.9995925,0.9993492,0.999747,0.9992447
MAR00099,0.8032174,0.66209453,0.8483983,0.8368768,0.7714102
MAR00100,0.8032174,0.66209453,0.8483983,0.8368768,0.7714102
MAR00109,0.9938513,0.998021,0.99721247,0.99745685,0.98411924
MAR00112,0.5362311,0.89983594,0.37073392,0.94809777,0.46237618
MAR00113,0.95224977,0.9940949,0.9308906,0.9937775,0.8259655
MAR00114,0.80156004,0.8048944,0.77797794,0.9385024,0.53564143
MAR00115,0.99816054,0.99926525,0.9964818,0.9990094,0.9957378
MAR00116,0.9998592,0.9997023,0.9991493,0.99956363,0.9992343
MAR00117,0.9951218,0.9966168,0.9414549,0.98387986,0.94276744
MAR00118,0.31762522,0.7339701,0.57830054,0.9038427,0.4440222
MAR00119,0.99918467,0.99828327,0.9986964,0.998657,0.9975994
MAR00120,0.070446715,0.08096429,0.5660504,0.028103087,0.019754343
MAR00122,0.02267722,0.09680327,0.023839993,0.07913852,0.015226534
MAR00123,0.6189054,0.99956137,0.8077199,0.39485985,0.7315268
MAR00124,0.8970263,0.8279894,0.39233783,0.691396,0.8328637
MAR00126,0.99955803,0.9998847,0.9998467,0.9987508,0.9995254
MAR00127,0.04774838,0.7274823,0.0900564,0.8354885,0.5190769
MAR00131,0.0011823892,0.00096670317,0.0038248997,0.0024635496,0.0041893534
MAR00132,0.0004969834,0.0003343372,0.0015454178,0.00036399357,0.0015328418
MAR00133,0.97628367,0.9907775,0.9616579,0.9974503,0.96786535
MAR00134,0.9975903,0.99879754,0.9957527,0.9996402,0.99964774
MAR00136,0.078791805,0.95128953,0.011080267,0.046123188,0.049102258
MAR00138,0.8032174,0.66209453,0.8483983,0.8368768,0.7714102
MAR00139,0.88524926,0.9902558,0.9508576,0.99186724,0.9141351
MAR00141,0.3592727,0.7633057,0.5441539,0.93284464,0.15545511
MAR00142,0.21781416,0.86643195,0.3088932,0.35575536,0.8444421
MAR00153,0.9942411,0.9981597,0.99738353,0.99936026,0.9949862
MAR00157,0.45818576,0.95972514,0.9965571,0.9864507,0.96225023
MAR00161,0.99272656,0.9978319,0.99644,0.9974566,0.980075
MAR00169,0.21976884,0.9692449,0.76135176,0.44989383,0.42949128
MAR00175,0.5951238,0.96324056,0.8831668,0.5014856,0.7095769
MAR00181,0.9996074,0.99930954,0.99990785,0.9998857,0.9997116
MAR00182,0.4693145,0.18720357,0.8558602,0.6156375,0.6851144
MAR00186,0.9995987,0.9993228,0.99990666,0.99988997,0.9997284
MAR00194,0.99981743,0.99931026,0.99975306,0.9993894,0.9988538
MAR00198,0.9998147,0.9993469,0.9997484,0.9993687,0.9989405
MAR00202,0.99982554,0.99939,0.99975926,0.9993917,0.9990439
MAR00205,0.9978319,0.9995814,0.99832195,0.9994659,0.9997726
MAR00207,0.9998135,0.9993414,0.99975413,0.99937516,0.9988883
MAR00211,0.9998178,0.9993455,0.99975115,0.99937016,0.9989152
MAR00215,0.9998184,0.99934286,0.9997533,0.99938977,0.9989035
MAR00218,0.99660504,0.9994924,0.99829096,0.99910957,0.9997664
MAR00219,0.98981595,0.7919392,0.955947,0.89699286,0.88407487
MAR00221,0.90292835,0.9923266,0.17478986,0.83360267,0.8788869
MAR00222,0.06665439,0.015226633,0.016998898,0.12741838,0.028152382
MAR00224,0.9998155,0.99935335,0.99976355,0.99941456,0.99904245
MAR00227,0.9976191,0.9993094,0.99543923,0.9987489,0.9944635
MAR00228,0.999803,0.99986744,0.999846,0.9999368,0.99977106
MAR00229,0.0527348,0.004664173,0.004717686,0.0066886456,0.034605153
MAR00231,0.9998153,0.99931717,0.9997676,0.99940634,0.9989197
MAR00235,0.9998203,0.9993218,0.9997559,0.99937063,0.9988813
MAR00239,0.9998227,0.99933535,0.9997689,0.99942744,0.99899536
MAR00243,0.99981695,0.9993249,0.9997496,0.9993923,0.9988772
MAR00247,0.9998128,0.9993505,0.999746,0.9993649,0.99891615
MAR00251,0.9967303,0.99178845,0.99807286,0.9979005,0.98992145
MAR00253,0.9998227,0.9993482,0.9997471,0.9993654,0.9988778
MAR00257,0.9998149,0.9993104,0.99975663,0.9993717,0.99887806
MAR00261,0.9998124,0.9993382,0.9997528,0.99937326,0.9988593
MAR00265,0.9998171,0.99937385,0.9997577,0.9993943,0.99892884
MAR00269,0.9998123,0.99932253,0.9997477,0.99937564,0.99876946
MAR00273,0.99981374,0.9993418,0.99975854,0.99937195,0.99890137
