,0,0.1,0.2,0.3,0
MAR00004,0.4762382,0.1189502,0.074591614,0.28459156,0.18166594
MAR00005,0.006719615,0.023927024,0.11509519,0.009410247,0.02196299
MAR00009,0.58229685,0.79502803,0.0012933963,0.70373285,0.13930024
MAR00010,0.006719615,0.023927024,0.11509519,0.009410247,0.02196299
MAR00018,0.99483705,0.99631846,0.33136484,0.5151912,0.99991274
MAR00019,0.67895615,0.99253136,0.195369,0.9851172,0.26517972
MAR00037,0.08283182,0.1915585,0.24733622,0.051143512,0.0664718
MAR00039,0.65951675,0.6903687,0.9769611,0.8825073,0.657345
MAR00040,0.9986498,0.9984012,0.9998884,0.99931574,0.9967476
MAR00041,0.9995328,0.99960357,0.9998919,0.9987232,0.9995536
MAR00045,0.9916187,0.9988495,0.99966776,0.99452883,0.9497722
MAR00047,0.99970007,0.999851,0.99995446,0.99948716,0.9997683
MAR00048,0.99891496,0.9969035,0.99983144,0.9889948,0.998604
MAR00052,0.99977607,0.9995989,0.9998894,0.9997793,0.99907446
MAR00054,0.89672405,0.87743634,0.25281242,0.011775023,0.8724343
MAR00056,0.12857531,0.08404485,0.040590808,0.08666965,0.26601848
MAR00057,0.23287173,0.5537139,0.24690048,0.048758138,0.96748984
MAR00058,0.99977607,0.9995989,0.9998894,0.9997793,0.99907446
MAR00059,0.0015223708,0.00055579137,0.0003223105,0.01852688,0.00017268828
MAR00061,0.9993963,0.9999126,0.99990916,0.9993666,0.9967422
MAR00063,0.19986661,0.03578789,0.0025619622,0.82991266,0.19219415
MAR00065,0.9998252,0.9996953,0.99990714,0.99984574,0.9992105
MAR00067,0.99964285,0.9996282,0.9999057,0.99944144,0.9986695
MAR00072,0.3720294,0.9982338,0.948107,0.95141685,0.9895481
MAR00073,0.37479442,0.082709044,0.7479607,0.0053548547,0.08492355
MAR00074,0.00416852,0.013705776,0.006219677,0.0015346193,0.02530746
MAR00075,0.9352152,0.90025234,0.98362607,0.98146963,0.47463682
MAR00077,0.69432557,0.012753236,0.8200295,0.98666537,0.57934463
MAR00078,0.9998723,0.9998814,0.99808705,0.999734,0.9998323
MAR00080,0.9999318,0.99984705,0.99990475,0.9998456,0.9998493
MAR00081,0.99707365,0.9949414,0.998481,0.99829787,0.99595535
MAR00082,0.99707365,0.9949414,0.998481,0.99829787,0.99595535
MAR00086,0.98770475,0.9954763,0.99950886,0.9379247,0.99176884
MAR00089,0.7150178,0.75673974,0.8631438,0.82185656,0.84688085
MAR00090,0.7150178,0.75673974,0.8631438,0.82185656,0.84688085
MAR00091,0.005534464,0.026497545,0.0140523845,0.0025973076,0.04873543
MAR00092,0.037077393,0.01112387,0.07922053,0.0032872797,0.0059008896
MAR00094,0.9998124,0.99925584,0.999897,0.9997602,0.9983242
MAR00096,0.9071641,0.9675724,0.9981133,0.9693177,0.9230679
MAR00099,0.7150178,0.75673974,0.8631438,0.82185656,0.84688085
MAR00100,0.7150178,0.75673974,0.8631438,0.82185656,0.84688085
MAR00109,0.996846,0.9917646,0.9982851,0.99814296,0.99403435
MAR00112,0.9779374,0.8360702,0.87228984,0.968002,0.9958401
MAR00113,0.7794564,0.6761808,0.9129142,0.45133644,0.6869237
MAR00114,0.31037068,0.2638843,0.761508,0.15340349,0.92655915
MAR00115,0.9979214,0.99610764,0.99943215,0.96829534,0.99196714
MAR00116,0.99984205,0.99962974,0.99991786,0.99908316,0.9995641
MAR00117,0.9466991,0.93027604,0.983232,0.7843061,0.84632814
MAR00118,0.6240587,0.55801404,0.7465083,0.371495,0.8956312
MAR00119,0.99951744,0.999411,0.9998385,0.99944156,0.9982455
MAR00120,0.003063277,0.18261337,0.010528088,0.08352611,4.3164608e-05
MAR00122,0.040245585,0.024392348,0.091228686,0.0075569837,0.008494612
MAR00123,0.96646357,0.2170841,0.83953947,0.98897356,0.32321587
MAR00125,0.99956065,0.99745995,0.9988086,0.9998416,0.998936
MAR00127,0.12530293,0.2595404,0.27204838,0.8600007,0.4757216
MAR00131,0.0027504116,0.0014879027,0.0010547402,0.000575016,0.00039424532
MAR00132,0.0006959676,0.00041998204,0.0006809605,0.00019362592,0.00014360357
MAR00133,0.87326884,0.98032665,0.99653816,0.79259,0.94201124
MAR00134,0.9980197,0.9984237,0.9997311,0.9912642,0.99970156
MAR00135,0.9434795,0.99453366,0.9990459,0.981012,0.98600346
MAR00136,0.07542112,0.007968385,0.0043919506,0.22730176,0.0073505496
MAR00138,0.7150178,0.75673974,0.8631438,0.82185656,0.84688085
MAR00139,0.9902998,0.99479717,0.9937926,0.9315007,0.9805238
MAR00141,0.98308647,0.9987112,0.9997259,0.99394554,0.99243355
MAR00142,0.07036962,0.36269075,0.0026669644,0.67711926,0.09223205
MAR00144,0.99990106,0.9998808,0.9999645,0.9997992,0.9993073
MAR00145,0.9998673,0.9998597,0.9999596,0.9997482,0.999097
MAR00146,0.999912,0.9998957,0.99996674,0.9997937,0.9992829
MAR00147,0.9998933,0.9998784,0.9999579,0.9997956,0.9992544
MAR00148,0.999895,0.9998779,0.9999583,0.9997917,0.9992873
MAR00149,0.99988735,0.9998698,0.9999602,0.9997886,0.99923027
MAR00150,0.9998357,0.9998354,0.9999491,0.9997218,0.9990068
MAR00151,0.9998386,0.9998369,0.9999503,0.9997154,0.99908054
MAR00152,0.9998801,0.99986327,0.99996006,0.9997608,0.9991586
MAR00153,0.99965894,0.9995372,0.9997948,0.9995473,0.9977362
MAR00157,0.9404045,0.95413804,0.8420725,0.7478952,0.9501192
MAR00161,0.99748224,0.9932011,0.9986386,0.9978352,0.9949067
MAR00169,0.9564723,0.37686524,0.031084878,0.17075513,0.16082041
MAR00175,0.20145045,0.9257818,0.9929021,0.9883731,0.97143847
MAR00181,0.99989414,0.9998665,0.9999609,0.99978155,0.9991565
MAR00182,0.52115417,0.011412566,0.8720791,0.7832207,0.6906268
MAR00186,0.9998832,0.99987423,0.9999608,0.9997634,0.99916255
MAR00205,0.9969723,0.999587,0.99962234,0.9973398,0.9994461
MAR00218,0.9960245,0.9995012,0.99962616,0.99557245,0.9994363
MAR00219,0.9900413,0.89696896,0.9963677,0.99978894,0.9875216
MAR00221,0.9952486,0.99679863,0.01825283,0.9990094,0.99907756
MAR00222,0.04939021,0.060834736,0.1125993,0.010920298,0.0150646735
MAR00227,0.9979214,0.99610764,0.99943215,0.96829534,0.99196714
MAR00228,0.999788,0.9998337,0.9999074,0.9996691,0.99952304
MAR00229,0.96286094,0.20022684,0.99674016,0.99965155,0.9272645
MAR00251,0.994418,0.99857175,0.9993075,0.99817014,0.99075
MAR00286,0.7150178,0.75673974,0.8631438,0.82185656,0.84688085
MAR00315,0.7150178,0.75673974,0.8631438,0.82185656,0.84688085
MAR00316,0.00081958994,0.001643943,0.06925796,0.0015978,0.0009849111
MAR00333,0.7150178,0.75673974,0.8631438,0.82185656,0.84688085
MAR00334,0.99986076,0.99977964,0.9999225,0.99988055,0.99935406
MAR00440,0.7150178,0.75673974,0.8631438,0.82185656,0.84688085
MAR00443,0.7150178,0.75673974,0.8631438,0.82185656,0.84688085
MAR00444,0.4655026,0.9042424,0.043690544,0.23805451,0.015071983
MAR00449,0.9975999,0.9964725,0.997511,0.9920848,0.98475593
MAR00454,0.99948466,0.9995921,0.9998553,0.99987507,0.9992268
MAR00455,0.99649614,0.9907065,0.9981775,0.9972778,0.99358034
MAR00461,0.49936506,0.92401373,0.00048451783,0.98763615,0.8562227
MAR00468,0.06989172,0.23811804,0.79685587,0.4806341,0.23542923
MAR00469,0.9998857,0.9997719,0.9999324,0.99989414,0.99943453
MAR00470,0.9997893,0.99963236,0.9998932,0.9997923,0.99912375
MAR00478,0.99994755,0.99995136,0.99997413,0.999956,0.9998791
MAR00479,0.9999552,0.9999442,0.9999802,0.9999807,0.9998822
MAR00481,0.9883732,0.99039686,0.9964845,0.99834514,0.9983955
MAR00553,0.00066229526,0.013314219,0.12842955,0.01353383,0.0026285693
MAR00561,0.000325264,0.0021476112,0.0023180556,0.0010919549,0.0004920468
MAR00565,0.5424517,0.67948693,0.74460906,0.46073827,0.49311593
MAR00566,0.29617408,0.5386673,0.43010792,0.46840334,0.42643684
MAR00567,0.26906204,0.5321335,0.41740474,0.42622772,0.39793438
MAR00568,0.35495058,0.5682727,0.40089306,0.4825499,0.36924136
MAR00569,0.49070916,0.74212205,0.6448808,0.68359774,0.5064172
MAR00571,0.3129026,0.54768676,0.43895844,0.43341094,0.33028108
MAR00572,0.5424517,0.67948693,0.74460906,0.46073827,0.49311593
MAR00573,0.27815944,0.5979104,0.41229016,0.39219886,0.3505152
MAR00574,0.5424517,0.67948693,0.74460906,0.46073827,0.49311593
MAR00575,0.30076155,0.44268247,0.436398,0.41468164,0.32784036
MAR00576,0.279772,0.52876306,0.52039695,0.5070461,0.38905764
MAR00577,0.30372185,0.5045205,0.46625686,0.43943644,0.30941287
MAR00582,0.00039719095,0.00027423704,0.00059932045,0.00017663832,0.00013004398
MAR00583,0.31303602,0.52115816,0.475733,0.44897223,0.3320846
MAR00584,0.59352195,0.65770143,0.96895045,0.050265968,0.8199249
MAR00585,0.5424517,0.67948693,0.74460906,0.46073827,0.49311593
MAR00586,0.0003140473,0.0002512414,0.00043367178,0.00013491028,0.000107944004
MAR00587,0.0026344038,0.13925306,0.005060099,0.49007437,0.07654689
MAR00594,0.0011052749,0.0009654514,0.014715217,0.0016183825,0.0006221395
MAR00595,0.5424517,0.67948693,0.74460906,0.46073827,0.49311593
MAR00602,0.9554938,0.9934642,0.99743396,0.997488,0.96966696
MAR00603,0.5424517,0.67948693,0.74460906,0.46073827,0.49311593
MAR00606,0.5424517,0.67948693,0.74460906,0.46073827,0.49311593
MAR00608,0.5424517,0.67948693,0.74460906,0.46073827,0.49311593
MAR00609,0.5424517,0.67948693,0.74460906,0.46073827,0.49311593
MAR00611,0.35450673,0.42428267,0.40350208,0.4069461,0.31395653
MAR00612,0.7150178,0.75673974,0.8631438,0.82185656,0.84688085
MAR00613,0.009687425,0.00578717,0.03025437,0.0030801701,0.071387045
MAR00617,0.32336035,0.5265847,0.4480152,0.42452225,0.22333029
MAR00618,0.30237722,0.449907,0.43205544,0.38782072,0.31584364
MAR00619,0.5424517,0.67948693,0.74460906,0.46073827,0.49311593
MAR00620,0.24072275,0.4933286,0.4205999,0.41880488,0.30248147
MAR00621,0.42601195,0.584389,0.44684368,0.48500738,0.3747353
MAR00623,0.0011386317,0.0062014447,0.0007082377,0.0040131323,0.005707866
MAR00624,0.30940408,0.48988503,0.44267043,0.41053635,0.2622369
MAR00626,0.28937072,0.40122256,0.4747287,0.3875317,0.24923009
MAR00628,0.5424517,0.67948693,0.74460906,0.46073827,0.49311593
MAR00631,0.5424517,0.67948693,0.74460906,0.46073827,0.49311593
MAR00632,0.8043883,0.85252506,0.9613901,0.9872497,0.98076755
MAR00637,0.34445044,0.5700261,0.40735456,0.43419155,0.26442033
MAR00639,0.36333916,0.42908743,0.41088876,0.3401787,0.4672783
MAR00640,0.4206864,0.80023164,0.95833665,0.59033227,0.37500748
MAR00641,0.9460488,0.98157173,0.9948671,0.8526859,0.9837106
