,0,0.1,0.2,0.3,0
MAR00004,0.042516284,0.00030335927,0.006641122,0.22036678,0.55678225
MAR00005,0.64835757,0.4216342,0.091219455,0.053372603,0.07090748
MAR00009,0.0052056923,0.008567038,0.17645884,0.0128854,0.17275679
MAR00010,0.64835757,0.4216342,0.091219455,0.053372603,0.07090748
MAR00018,0.9989753,0.9981092,0.9997112,0.83388996,0.9996687
MAR00019,0.004395361,0.0242479,0.10451054,0.02386809,0.014600706
MAR00020,0.00016886435,0.09407833,0.48506784,0.00014232853,0.13473001
MAR00037,0.059703548,0.010111494,0.004708862,0.0034301956,0.103217
MAR00040,0.99971396,0.99987566,0.99900776,0.99924123,0.99857485
MAR00041,0.99982977,0.9999305,0.99964917,0.9995516,0.99909353
MAR00045,0.99964213,0.99996316,0.99775666,0.9972313,0.99170905
MAR00047,0.99985075,0.999966,0.9995945,0.9994174,0.9998265
MAR00048,0.9993586,0.99965096,0.9978531,0.98993134,0.99703705
MAR00052,0.9998914,0.9999304,0.99966097,0.9996729,0.9985831
MAR00054,0.97773063,0.9988788,0.6694825,0.9591713,0.717926
MAR00056,0.0016587488,0.10129293,0.0029543173,0.12379722,0.00286793
MAR00057,0.9779806,0.14509067,0.960888,0.458287,0.99784255
MAR00058,0.9998914,0.9999304,0.99966097,0.9996729,0.9985831
MAR00059,8.34451e-05,0.00014830241,0.0055167405,0.00045445084,0.00032916557
MAR00061,0.9999479,0.9999895,0.9997644,0.99971265,0.9986272
MAR00065,0.9998914,0.9999304,0.99966097,0.9996729,0.9985831
MAR00067,0.9998969,0.9999107,0.99961203,0.9997569,0.9983187
MAR00069,0.682075,0.9928681,0.9538502,0.97518456,0.9482382
MAR00072,0.37455904,0.8408291,0.9222925,0.93796474,0.98361766
MAR00073,0.7682567,0.115437604,0.16147602,0.18363118,0.041916963
MAR00074,0.009463557,0.005721155,0.006829522,0.013228254,0.01533865
MAR00075,0.9974279,0.9919418,0.8755765,0.9383033,0.6407724
MAR00077,0.98594564,0.9286015,0.018147843,0.98690885,0.95838076
MAR00080,0.9998963,0.9998385,0.99985194,0.9996401,0.9996674
MAR00081,0.99538887,0.9982029,0.9918887,0.9872736,0.9972242
MAR00082,0.99538887,0.9982029,0.9918887,0.9872736,0.9972242
MAR00083,0.007035514,0.07706597,0.25442296,0.5969555,0.2862849
MAR00084,0.004249239,0.029929355,0.09361907,0.44156563,0.039863344
MAR00085,0.004249239,0.029929344,0.09361907,0.4415657,0.039863344
