,0,0.1,0.2,0.3,0
MAR00004,0.43872693,0.01629426,0.26612017,0.47265738,0.31291816
MAR00005,0.0085036885,0.066749826,0.7325876,0.4753027,0.49231002
MAR00009,0.7993661,0.11680157,0.92963624,0.5594172,0.07948398
MAR00010,0.0085036885,0.066749826,0.7325876,0.4753027,0.49231002
MAR00018,0.9999832,0.98917973,0.8836382,0.9879764,0.9488398
MAR00019,0.78538465,0.9996306,0.04039027,0.9883596,0.46571636
MAR00038,0.99447787,0.9969758,0.9993717,0.99202734,0.9999188
MAR00039,0.09202555,0.6472944,0.9727763,0.81789595,0.93057656
MAR00040,0.9980684,0.99958473,0.99822634,0.9993297,0.9988445
MAR00041,0.9995395,0.9998609,0.99978334,0.9999068,0.99980074
MAR00045,0.9961921,0.9955064,0.99850595,0.9993017,0.99840885
MAR00047,0.99979717,0.9999306,0.9998629,0.99992526,0.9998005
MAR00048,0.9949591,0.9990464,0.99796665,0.99963796,0.9991906
MAR00052,0.99944025,0.9991021,0.99987054,0.99978083,0.9999293
MAR00054,0.004072566,0.22067563,0.9484836,0.85560143,0.8527093
MAR00056,0.06750222,0.001564225,0.021065485,0.0027016168,0.0041338345
MAR00057,0.99930847,0.8777065,0.46185437,0.16078031,0.9409317
MAR00058,0.99942374,0.99903405,0.9998667,0.9997764,0.99992776
MAR00059,0.0003792739,0.00010222584,8.117003e-05,0.0014285694,0.010471314
MAR00061,0.9995402,0.9994017,0.99967563,0.99970585,0.9995598
MAR00065,0.99942374,0.99903405,0.9998667,0.9997764,0.99992776
MAR00067,0.9995098,0.9988759,0.999866,0.99981266,0.99989057
MAR00069,0.87152755,0.98975885,0.9880163,0.9898589,0.98396564
MAR00073,0.0100517515,0.11981151,0.052632418,0.60571915,0.6658845
MAR00074,0.024111694,0.048038036,0.001592885,0.022049151,0.13263299
MAR00075,0.5804872,0.96060205,0.9061801,0.35716563,0.62579983
MAR00077,0.52867377,0.9051994,0.9273565,0.08312065,0.9932161
MAR00078,0.9998417,0.99999905,0.9997931,0.9995103,0.9996196
MAR00080,0.99983394,0.99992156,0.9998977,0.9997079,0.9999231
MAR00081,0.99836844,0.9931458,0.9964316,0.99736446,0.9993298
MAR00082,0.99836844,0.9931458,0.9964316,0.99736446,0.9993298
MAR00083,0.25560552,0.008188243,0.22107677,0.42454407,0.027596124
MAR00084,0.017640844,0.007339612,0.05506034,0.4029013,0.012941598
MAR00085,0.017640844,0.007339612,0.05506034,0.4029013,0.012941598
MAR00086,0.9777714,0.9983748,0.9829899,0.99880886,0.9977048
MAR00089,0.84899545,0.92078507,0.9082796,0.721591,0.6896926
MAR00090,0.34886274,0.0005961225,0.0008184583,0.013007046,0.0005793461
MAR00091,0.034037307,0.063214414,0.0023259437,0.037493166,0.1756388
MAR00092,0.00462497,0.022934845,0.0037950687,0.6406121,0.20428677
MAR00094,0.99953926,0.99903667,0.9998983,0.99977976,0.99985254
MAR00096,0.97128725,0.92129314,0.9956963,0.9963811,0.99162513
MAR00099,0.84899545,0.92078507,0.9082796,0.721591,0.6896926
MAR00100,0.84899545,0.92078507,0.9082796,0.721591,0.6896926
MAR00104,0.99551266,0.99716043,0.98856074,0.9984132,0.9980475
MAR00109,0.9949091,0.9975943,0.9870495,0.9980945,0.9972742
