,predicted_scores,similarity_scores
MAR08751,0.9999919,0.5773668005721726
MAR04898,0.9999918600000001,0.9999999999999998
MAR04900,0.99998736,0.5773833333748187
MAR03980,0.999987,0.7559237926395193
MAR04885,0.9999857649999999,0.9999999999999998
MAR04934,0.9999851,0.6859943405700353
MAR09902,0.9999846,0.6859943405700353
MAR07793,0.9999839,0.7071067811865475
MAR08925,0.9999806575,1.0
MAR01462,0.99997866,0.7071067811865475
MAR04177,0.9999772025,1.0
MAR11318,0.99997663,0.8944271909999159
MAR04933,0.9999732050000001,1.0
MAR05992,0.9999732050000001,0.9999999999999998
MAR04890,0.9999732,0.5345290429865519
MAR08677,0.9999730674999999,1.0
MAR07854,0.9999726675,1.0
MAR07771,0.9999713,0.35355339059327373
MAR02593,0.9999713,0.6123724356957946
MAR06513,0.9999708,0.5
MAR03885,0.999970035,1.0
MAR07778,0.9999696,0.3922348619283156
MAR00478,0.99996959,1.0
MAR07780,0.99996936,0.3922348619283156
MAR04888,0.9999689,0.5827800179611938
MAR04894,0.99996825,0.9999999999999998
MAR07775,0.9999682,0.35355339059327373
MAR05330,0.9999681425,1.0
MAR08629,0.99996734,0.8660254037844387
MAR08558,0.99996655,1.0
MAR04014,0.999966405,1.0
MAR03967,0.9999662925,1.0
MAR04180,0.9999654299999999,1.0
MAR03955,0.9999654,1.0
MAR00997,0.9999653975,1.0
MAR05442,0.9999652575,0.9999999999999999
MAR04267,0.9999652,0.4743158430977019
MAR08556,0.9999650625000001,1.0
MAR08555,0.999964985,1.0
MAR08554,0.9999649225,1.0
MAR04118,0.9999648025000001,0.9999999999999998
MAR05320,0.9999645624999999,1.0
MAR04116,0.9999639825,0.9999999999999998
MAR01581,0.9999634574999999,1.0
MAR04271,0.9999633400000001,1.0
MAR00479,0.9999629825,0.9999999999999998
MAR01776,0.9999629350000001,1.0
MAR03868,0.99996265,0.9999999999999998
MAR07701,0.9999624500000001,0.9999999999999998
MAR01571,0.9999621225,1.0
MAR05363,0.9999619500000001,0.9999999999999998
MAR08729,0.9999618499999999,0.9999999999999998
MAR05308,0.9999608125000001,1.0
MAR08465,0.9999602674999999,1.0
MAR05406,0.9999601499999999,1.0
MAR00450,0.99995991,0.9999999999999998
MAR07779,0.99995923,0.3922348619283156
MAR01009,0.99995891,0.9999999999999998
MAR07777,0.99995863,0.3922348619283156
MAR04190,0.9999585375000001,0.9999999999999999
MAR04883,0.9999585,0.5345290429865519
MAR05317,0.9999583,0.8164965809277261
MAR08943,0.9999580125,1.0
MAR08467,0.99995678,1.0
MAR06375,0.9999565,1.0
MAR05322,0.99995337,1.0
MAR05305,0.9999533325000001,1.0
MAR06377,0.99995315,0.8660254037844387
MAR05319,0.9999531425,1.0
MAR06042,0.9999526249999999,1.0
MAR06912,0.9999522850000001,0.9999999999999999
MAR04004,0.99995213,1.0
MAR04083,0.9999516325,1.0
MAR08557,0.9999514125,1.0
MAR05326,0.99995094,1.0
MAR04360,0.9999501199999999,1.0
MAR04008,0.99994976,1.0
MAR00950,0.9999493075,1.0
MAR00954,0.9999492725000001,1.0
MAR00942,0.9999491,0.9999999999999999
MAR00946,0.9999490125,0.9999999999999999
MAR05315,0.9999485025000001,1.0
MAR00995,0.9999482975,1.0
MAR07799,0.9999479925,1.0
MAR05342,0.9999479,1.0
MAR05311,0.9999478175000001,1.0
MAR06324,0.9999478,1.0
MAR09719,0.9999476150000001,0.9999999999999999
MAR00933,0.9999475275,1.0
MAR00935,0.9999474975,1.0
MAR00938,0.999947455,1.0
MAR00936,0.9999474425,1.0
MAR00940,0.999947435,0.9999999999999999
MAR00932,0.999947435,0.9999999999999999
MAR00937,0.999947405,1.0
MAR03428,0.999947405,1.0
MAR00934,0.9999473725000001,0.9999999999999999
MAR00939,0.9999473675,1.0
MAR01542,0.9999473675,0.9999999999999998
MAR00931,0.9999473075,0.9999999999999999
MAR00756,0.9999472574999999,1.0
MAR04263,0.9999472,0.7499785241817694
MAR00752,0.9999467350000001,1.0
MAR03422,0.9999462675,1.0
MAR03409,0.9999460625000001,1.0
MAR03421,0.99994591,0.9999999999999999
MAR05324,0.99994577,1.0
MAR03427,0.999945695,1.0
MAR03426,0.9999456425,0.9999999999999999
MAR03430,0.9999456,1.0
MAR04122,0.999945365,1.0
MAR03424,0.9999450975000002,0.9999999999999999
MAR04420,0.999944825,1.0
MAR03408,0.9999447125,0.9999999999999999
MAR03416,0.999944655,1.0
MAR00916,0.9999446275000001,1.0
MAR04187,0.9999446000000001,1.0
MAR03431,0.999944505,1.0
MAR03433,0.99994445,0.9999999999999999
MAR03411,0.9999444125,1.0
MAR03432,0.9999444,0.9999999999999999
MAR03398,0.999944275,1.0
MAR03414,0.9999442425,1.0
MAR03413,0.9999442249999999,1.0
MAR03423,0.99994415,1.0
MAR03425,0.999944125,0.9999999999999999
MAR03429,0.999943735,1.0
MAR07806,0.999941585,1.0
MAR08711,0.999941,0.5
MAR08469,0.99994096,1.0
MAR01781,0.9999403,0.8571393511020214
MAR01785,0.9999403,0.8571393511020214
MAR05316,0.99994004,0.8660254037844387
MAR04093,0.99993896,0.5999862561847512
MAR04012,0.99993813,0.6324422520273306
MAR03871,0.9999376249999999,1.0
MAR05333,0.9999372675,1.0
MAR05314,0.9999372,0.8660254037844387
MAR06321,0.9999372,0.7071067811865475
MAR05448,0.99993706,0.8677218312746247
MAR05432,0.99993706,0.6859943405700353
MAR08076,0.99993706,0.7999999999999998
MAR08077,0.99993706,0.8485281374238569
MAR04010,0.9999368725,1.0
MAR06057,0.9999355,0.9805806756909202
MAR04182,0.9999350650000001,1.0
MAR04411,0.99993501,1.0
