,predicted_scores,similarity_scores
MAR07793,0.999987995,0.9999999999999998
MAR11318,0.99998116,0.8944271909999159
MAR05406,0.9999806000000001,1.0
MAR04898,0.99998057,0.577384583193341
MAR04894,0.9999797975,0.9999999999999998
MAR08721,0.99997675,0.7071067811865475
MAR02593,0.9999765,0.6123724356957946
MAR04928,0.9999761549999999,1.0
MAR04116,0.9999759250000001,0.9999999999999998
MAR03885,0.9999755275000001,1.0
MAR04885,0.9999737125000001,0.9999999999999998
MAR04200,0.9999726625,1.0
MAR04180,0.999971355,1.0
MAR03868,0.99997103,0.7499999999999999
MAR01462,0.9999708,0.7071067811865475
MAR03946,0.9999696,0.4999999999999999
MAR03955,0.999969,1.0
MAR04890,0.9999665,0.5345292909039827
MAR08771,0.99996614,0.8571392185828792
MAR07867,0.999966,0.6123724356957946
MAR04177,0.9999652775,1.0
MAR08729,0.9999651225,1.0
MAR04263,0.99996424,0.7499777124008272
MAR03975,0.99996376,0.6761139322984371
MAR04012,0.9999627,0.6324417500719901
MAR08629,0.9999627,0.8660254037844387
MAR04169,0.9999623875,0.9999999999999999
MAR06513,0.9999621,0.5
MAR04014,0.99996189,1.0
MAR08512,0.99996126,0.7999928683497384
MAR04533,0.9999591,0.7171462982556278
MAR04175,0.999959,0.6974858324629157
MAR00941,0.9999584,0.8571392185828526
MAR05333,0.9999583,0.8660254037844387
MAR07780,0.99995816,0.39223495988443946
MAR07778,0.99995804,0.39223495988443946
MAR03889,0.9999577,0.9036396606008797
MAR07779,0.99995744,0.39223495988443946
MAR04182,0.9999574075,1.0
MAR07777,0.9999571,0.39223495988443946
MAR06912,0.9999568274999999,0.9999999999999999
MAR00450,0.999956695,1.0
MAR04004,0.999956515,1.0
MAR04358,0.9999562249999999,1.0
MAR04534,0.99995613,0.7715265749828744
MAR05332,0.999956,0.8404932758547622
MAR04690,0.9999553,0.6859943405700353
MAR00479,0.9999552,0.699989302524608
MAR04388,0.999954945,1.0
MAR08938,0.99995494,0.9486832980505138
MAR04118,0.999954845,0.9999999999999998
MAR05127,0.9999546375,1.0
MAR05335,0.9999517,0.9428090415820635
MAR05317,0.9999517,0.8164965809277261
MAR04900,0.99994993,0.577384583193341
MAR03871,0.9999492425,1.0
MAR06377,0.9999491,0.8660254037844387
MAR05314,0.999948,0.8660254037844387
MAR04926,0.9999478075000001,1.0
MAR01471,0.99994767,0.9947532966754146
MAR00478,0.99994755,0.7171255973120265
MAR07776,0.9999474,0.35355339059327373
MAR03960,0.9999473675,0.9999999999999998
MAR02424,0.99994624,0.8571392185828441
MAR01542,0.99994354,1.0
MAR06297,0.9999431400000001,1.0
MAR04006,0.9999429,0.6123724356957947
MAR07772,0.99994254,0.35355339059327373
MAR05318,0.9999424,0.8164965809277261
MAR04888,0.9999424,0.5345292909039827
MAR06371,0.999942305,1.0
MAR04097,0.9999417,0.6666666666666667
MAR04210,0.999941105,1.0
MAR07812,0.9999411,0.5
MAR03980,0.9999407575,1.0
MAR06328,0.9999400950000001,1.0
MAR04058,0.9999392,0.5999857366994819
MAR06861,0.99993885,0.5773502691896258
MAR03996,0.99993825,0.7499999999999999
MAR03883,0.9999370325000001,0.9999999999999999
MAR04186,0.999936785,1.0
MAR11430,0.9999367,0.6859943405700353
MAR04883,0.9999356,0.5345292909039827
MAR04008,0.9999347,0.6123724356957946
MAR01913,0.9999337,0.9454811460855975
MAR02304,0.9999337,0.8380765507274487
MAR04212,0.999933635,1.0
MAR04137,0.9999331825,1.0
MAR09802,0.9999321025,1.0
MAR00080,0.9999318,0.788595186324784
MAR05442,0.9999314050000001,1.0
MAR04174,0.99993134,0.6859943405700353
MAR06374,0.999930475,1.0
MAR04336,0.9999304,0.6681490394681324
MAR05122,0.999930215,1.0
MAR04360,0.99992924,1.0
MAR04073,0.9999292,0.6859943405700353
MAR09902,0.99992883,0.6708203932499369
MAR00410,0.9999288275,1.0
MAR04171,0.999928575,0.9999999999999998
MAR04093,0.9999285,0.7303097637765915
MAR04323,0.9999279,0.7453559943955892
MAR01009,0.9999270750000001,0.9999999999999998
MAR03974,0.999925865,0.9999999999999998
MAR05342,0.9999251525,1.0
MAR07149,0.9999248,0.5773502691896258
MAR03956,0.9999247824999999,1.0
MAR05363,0.999924135,0.9999999999999998
MAR04363,0.99992327,1.0
MAR00756,0.9999232625,1.0
MAR04010,0.9999229825,1.0
MAR03899,0.99992263,0.5
MAR05449,0.9999225,0.9359709753334591
MAR01781,0.99992204,0.7333883260751756
MAR01581,0.99992204,0.7333883260751755
MAR01776,0.99992204,0.7333883260751756
MAR01785,0.99992204,0.7333883260751756
MAR01571,0.99992204,0.7333883260751767
MAR04271,0.9999215375,1.0
MAR03832,0.99992144,0.5999857366994693
MAR12125,0.999919575,0.9999999999999998
MAR04016,0.99991953,0.6123724356957946
MAR05413,0.9999193,0.6324555320336759
MAR03409,0.99991875,1.0
MAR06373,0.999918155,1.0
MAR09719,0.9999180225,0.9999999999999999
MAR03422,0.9999179549999999,1.0
MAR03430,0.99991795,1.0
MAR03426,0.99991775,0.9999999999999999
MAR03428,0.9999170850000001,1.0
MAR03421,0.9999169800000001,0.9999999999999999
MAR03427,0.99991629,1.0
MAR03433,0.9999161875,0.9999999999999999
MAR03407,0.9999161,0.998244632812406
MAR03406,0.9999161,0.998244632812406
MAR03398,0.9999159275,1.0
MAR03414,0.9999158275000001,1.0
MAR03408,0.9999157125,0.9999999999999999
MAR03431,0.99991564,1.0
MAR04020,0.9999156075000001,1.0
MAR00752,0.9999155499999999,1.0
MAR03416,0.9999155325,1.0
MAR04326,0.99991553,1.0
MAR03411,0.99991544,1.0
MAR03425,0.999915425,0.9999999999999999
MAR03423,0.9999154225,1.0
MAR00916,0.999914975,1.0
MAR03432,0.99991485,0.9999999999999999
MAR03429,0.9999144675,1.0
MAR03424,0.9999144600000001,0.9999999999999999
MAR03054,0.99991417,0.9977257168525592
MAR03055,0.99991417,0.9641826543301151
MAR03413,0.99991395,1.0
MAR05457,0.9999131,0.9847319278346618
MAR05316,0.99991274,0.8660254037844387
