,predicted_scores,similarity_scores
MAR03947,0.9999988,0.5
MAR04887,0.99999666,0.5345293410288883
MAR03952,0.9999962,0.35355339059327373
MAR04883,0.99999607,0.5345293410288883
MAR03106,0.99999595,0.5773502691896258
MAR04898,0.99999595,0.4999999999999999
MAR04894,0.9999955875,0.9999999999999998
MAR03946,0.99999547,0.5
MAR11318,0.99999535,0.8944271909999159
MAR01462,0.9999949,0.7071067811865475
MAR07793,0.9999926,0.7071067811865475
MAR07775,0.999992,0.35355339059327373
MAR04900,0.999991985,0.9999999999999998
MAR07776,0.9999919,0.35355339059327373
MAR07772,0.99999154,0.35355339059327373
MAR07771,0.9999914,0.35355339059327373
MAR04885,0.9999905225000001,0.9999999999999998
MAR08408,0.9999893,0.5
MAR07785,0.99998856,0.7071067811865475
MAR05124,0.99998784,0.5
MAR05023,0.9999858,0.7071067811865475
MAR07779,0.99998426,0.3922349796895931
MAR07777,0.99998415,0.3922349796895931
MAR04123,0.9999819,0.7071067811865475
MAR07149,0.99998116,0.5773502691896258
MAR06861,0.9999809,0.5773502691896258
MAR05449,0.99997914,0.9359709753334591
MAR08721,0.9999788,0.7071067811865475
MAR04873,0.9999782,0.7071067811865475
MAR04263,0.99997807,0.7499775482712172
MAR04267,0.9999777,0.5999856316678159
MAR06513,0.9999771,0.5
MAR04690,0.9999757,0.6859943405700353
MAR05122,0.99997425,1.0
MAR04874,0.9999734,0.40826051108831907
MAR03982,0.99997246,0.6324618425480878
MAR03955,0.99997213,1.0
MAR04093,0.9999721,0.7303098596551955
MAR07700,0.9999721,0.9203579866168444
MAR07699,0.9999721,0.8677218312746245
MAR04095,0.999972,0.7303098596551769
MAR07778,0.9999714,0.3922349796895931
MAR07780,0.9999714,0.3922349796895931
MAR05988,0.9999713,0.909907157067554
MAR04926,0.99997115,0.7071067811865475
MAR04260,0.99997103,0.6804206064723315
MAR04168,0.99997103,0.6708324413545547
MAR04073,0.99996996,0.6859943405700353
MAR04905,0.9999696,0.5
MAR08465,0.9999690950000001,1.0
MAR05406,0.99996802,1.0
MAR03975,0.9999679874999999,0.9999999999999999
MAR09902,0.9999676,0.6859943405700353
MAR04118,0.99996734,0.7499999999999999
MAR04004,0.999966625,1.0
MAR01581,0.99996639,1.0
MAR04180,0.9999658575,1.0
MAR07800,0.99996555,0.6123724356957946
MAR01776,0.999965525,1.0
MAR01461,0.9999654,0.7071067811865475
MAR08771,0.9999653,0.857139191789575
MAR05024,0.9999652,0.9152553237716281
MAR01781,0.9999649500000001,1.0
MAR04014,0.999964925,1.0
MAR01785,0.9999645375,1.0
MAR12125,0.9999645,0.5000049888996871
MAR04174,0.99996436,0.6859943405700353
MAR01640,0.99996436,0.7071067811865475
MAR04922,0.9999635,0.4999999999999999
MAR06329,0.99996305,0.9192388155425116
MAR08729,0.9999628975,1.0
MAR03868,0.9999628625,0.9999999999999998
MAR04534,0.9999628,0.7715266473319424
MAR04323,0.9999628,0.7302879993265394
MAR08557,0.99996245,0.8366578800493923
MAR11414,0.99996233,0.5
MAR07193,0.99996233,0.5
MAR04516,0.9999615,0.6761138625529332
MAR04190,0.9999609,0.7715266473319415
MAR00941,0.99995995,0.8571391917896296
MAR08987,0.99995995,0.4949747468305832
MAR04116,0.9999594,0.9999999999999998
MAR03832,0.99995875,0.5999856316678284
MAR04934,0.9999583,0.6859943405700353
MAR04122,0.99995818,1.0
MAR05992,0.99995816,0.9203579866168444
MAR04012,0.99995804,0.6324416485845293
MAR01654,0.9999579,0.5
MAR03889,0.9999578,0.9036397355753063
MAR04099,0.9999578,0.6666666666666667
MAR02590,0.9999576775,0.9999999999999998
MAR08917,0.9999572,0.6859943405700353
MAR09486,0.9999571,0.566953982677047
MAR01542,0.9999564400000001,0.9999999999999998
MAR07754,0.99995625,0.5999856316677439
MAR11411,0.9999558,0.5
MAR05342,0.9999557175,1.0
MAR03966,0.9999553,0.7181827128984265
MAR06729,0.99995494,0.7499775482712037
MAR04533,0.99995494,0.7171463655052512
MAR08515,0.99995494,0.6859943405700353
MAR06283,0.9999546,0.892369614796338
MAR01913,0.99995387,0.9454811386650832
MAR02304,0.99995387,0.8380765227156085
MAR05030,0.9999534,0.892369614796338
MAR05332,0.99995303,0.8404932431145274
MAR04046,0.9999528,0.7637560837530843
MAR05324,0.9999527,0.7071067811865475
MAR04175,0.99995238,1.0
MAR05363,0.9999522625000001,1.0
MAR03901,0.9999521,0.6324384930581706
MAR05333,0.99995196,0.8164965809277261
MAR07867,0.9999519525,1.0
MAR06319,0.9999517,0.892369614796338
MAR06347,0.9999511,0.892369614796338
MAR05044,0.9999511,0.892369614796338
MAR01009,0.9999509799999999,0.9999999999999998
MAR05442,0.9999506499999999,0.9999999999999999
