,predicted_scores,similarity_scores
MAR04898,0.9999952320000001,0.4999999999999999
MAR03947,0.999994974,0.5
MAR07793,0.9999935000000001,0.7071067811865475
MAR01462,0.999991874,0.7071067811865475
MAR05023,0.9999913420000001,0.7071067811865475
MAR07772,0.9999911599999999,0.35355339059327373
MAR07776,0.9999908919999999,0.35355339059327373
MAR03952,0.999989112,0.35355339059327373
MAR03946,0.9999887939999998,0.5
MAR04887,0.999987942,0.5345306005440529
MAR07779,0.999983194,0.3922354773430232
MAR07777,0.9999822459999999,0.3922354773430232
MAR07771,0.9999820680000001,0.35355339059327373
MAR07775,0.999981736,0.35355339059327373
MAR04883,0.9999766319999999,0.534530600544052
MAR07778,0.999975832,0.3922354773430232
MAR07780,0.9999756379999999,0.3922354773430232
MAR11318,0.999974988,0.8944271909999159
MAR12125,0.9999744660000001,0.5000059052444596
MAR04263,0.999968104,0.7499734240459217
MAR05124,0.9999642559999999,0.5
MAR04118,0.99996142,0.7499999999999999
MAR04922,0.999960892,0.4999999999999999
MAR01571,0.999959898,0.857138518541015
MAR01461,0.9999586,0.7071067811865475
MAR08408,0.999956046,0.5
MAR08771,0.99995444,0.8571385185410186
MAR04533,0.9999528200000001,0.717148055322171
MAR05449,0.999952218,0.9359709753334591
MAR04934,0.999951042,0.6859943405700353
MAR04534,0.9999473080000001,0.7715284652855006
MAR04012,0.999946448,0.6324390984492015
MAR09902,0.9999462619999999,0.6859943405700353
MAR03889,0.9999439259999999,0.9036416194957133
MAR06861,0.9999428620000002,0.5773502691896258
MAR08557,0.999942208,0.8366574858228432
MAR00941,0.9999402,0.8571385185410246
MAR04260,0.9999348859999999,0.6804218534596248
MAR05332,0.9999341239999999,0.8404924204307306
MAR04690,0.99993336,0.6859943405700353
MAR05992,0.9999325459999999,0.9203579866168444
MAR04095,0.9999313200000002,0.7303122688511332
MAR04267,0.99992743,0.5999829924741701
MAR04073,0.999925478,0.6859943405700353
MAR07800,0.9999237799999999,0.6123724356957946
MAR04873,0.9999222880000002,0.7071067811865475
MAR05988,0.999919998,0.909907157067554
MAR04093,0.99991869,0.7303122688511332
MAR04190,0.999916032,0.7715284652854918
MAR01029,0.9999142320000001,0.66664304443348
MAR00411,0.999912746,0.8571385185410316
MAR07149,0.999908116,0.5773502691896258
MAR04874,0.9999078599999999,0.40826275581210747
MAR01471,0.999904334,0.9947533012795771
MAR08218,0.9999023359999999,0.7999914962370748
MAR13003,0.999898466,0.6123724356957946
MAR08629,0.9998971080000001,0.6859943405700353
MAR11368,0.999892372,0.8229483071091134
MAR08721,0.99989053,0.7071067811865475
MAR04174,0.999887914,0.6859943405700353
MAR06329,0.9998862899999998,0.9192388155425116
MAR05024,0.99988601,0.9152553237716281
MAR07958,0.9998835899999999,0.8571385185410151
MAR02051,0.9998833600000001,0.8571385185410044
MAR02057,0.9998833600000001,0.8571385185410041
MAR01945,0.9998806439999999,0.8229483071090976
MAR06377,0.9998798600000001,0.8164965809277261
MAR01589,0.9998798000000001,0.8229483071090956
MAR02047,0.99987947,0.8229483071091126
MAR02043,0.99987947,0.8229483071091123
MAR05305,0.9998784400000001,0.8660254037844387
MAR03238,0.9998779600000001,0.7999999999999998
MAR01913,0.9998777600000001,0.9454809522064265
MAR02304,0.9998777600000001,0.8380758188475532
MAR03966,0.999874892,0.7181823210229744
MAR05333,0.999873786,0.8164965809277261
MAR07928,0.999871822,0.82294830710911
MAR07937,0.999871822,0.8229483071090976
MAR08677,0.9998710880000001,0.7071067811865475
MAR02300,0.9998704759999999,0.9435632921759946
MAR04168,0.99986894,0.6708346543423332
MAR04531,0.99986739,0.7171480553221721
MAR06729,0.999866368,0.7499734240459157
MAR05320,0.9998646640000001,0.8164965809277261
MAR01138,0.9998631259999999,0.8229483071090946
MAR08917,0.9998612399999999,0.6859943405700353
MAR06513,0.999860114,0.5
MAR04905,0.999859746,0.5
MAR04926,0.999854674,0.7071067811865475
MAR01777,0.99985419,0.8229483071090955
MAR03996,0.9998524339999999,0.7499999999999999
MAR01574,0.999852366,0.8229483071090977
