,predicted_scores,similarity_scores
MAR04900,0.9999932819999999,0.5773894607362895
MAR09902,0.99998758,0.6859943405700353
MAR11318,0.999986642,0.8944271909999159
MAR03980,0.999986174,0.7559228377030995
MAR01462,0.999982252,0.7071067811865475
MAR04890,0.999981148,0.5345302584146463
MAR07793,0.9999784500000001,0.7071067811865475
MAR07777,0.999976198,0.3922353421627025
MAR07779,0.9999760460000001,0.3922353421627025
MAR04934,0.99997437,0.6859943405700353
MAR02593,0.9999718059999999,0.6123724356957946
MAR07772,0.999969672,0.35355339059327373
MAR05317,0.9999663599999999,0.8164965809277261
MAR04263,0.9999626920000001,0.7499745443437796
MAR07776,0.9999615399999999,0.35355339059327373
MAR08629,0.999960688,0.8660254037844387
MAR01785,0.9999578719999999,0.8571387014196554
MAR01781,0.9999578719999999,0.857138701419619
MAR08771,0.999950284,0.8571387014196481
MAR08938,0.9999495359999999,0.9486832980505138
MAR12125,0.9999467299999999,0.7071147804487654
MAR05449,0.99994283,0.9359709753334591
MAR04093,0.9999427799999999,0.59998370937532
MAR00941,0.99994078,0.8571387014196107
MAR05314,0.999940408,0.8660254037844387
MAR04012,0.999939318,0.6324397911590038
MAR04095,0.9999383660000001,0.7303116144265922
MAR05316,0.9999370800000001,0.8660254037844387
MAR04175,0.9999370559999999,0.6974858324629157
MAR06377,0.9999365819999999,0.8660254037844387
MAR04267,0.9999356300000001,0.47431106099676423
MAR03407,0.9999354160000001,0.998244632812406
MAR03406,0.9999354160000001,0.998244632812406
MAR06057,0.9999351080000001,0.9805806756909202
MAR03055,0.9999325920000001,0.9641835427799413
MAR03054,0.999930236,0.9977257168525592
MAR04169,0.9999270079999999,0.5164783998764595
MAR04058,0.999926948,0.5999837093752982
MAR04526,0.999925938,0.6741873821757681
MAR05318,0.999924422,0.8164965809277261
MAR07771,0.999920848,0.35355339059327373
MAR08515,0.9999198719999999,0.6859943405700353
MAR06729,0.9999189660000001,0.7499745443437782
MAR03889,0.9999157439999999,0.9036411077556169
MAR06895,0.9999147200000001,0.7746019268574333
MAR04534,0.999913862,0.7715279714642085
MAR04888,0.9999129,0.5827815931390098
MAR07149,0.9999110699999999,0.5773502691896258
MAR06861,0.9999102260000001,0.6123724356957946
MAR00080,0.9999094919999999,0.7885944492151842
MAR05335,0.99990802,0.9428090415820635
MAR03832,0.9999057600000001,0.5999837093752438
MAR04533,0.9999053019999998,0.7171475963073961
MAR06324,0.999905264,1.0
MAR04283,0.999904074,0.8249559115819274
MAR08721,0.9999039199999998,0.7071067811865475
MAR05332,0.999902256,0.8404926439013057
MAR07775,0.99990095,0.35355339059327373
MAR06513,0.9998992580000001,0.5
MAR04282,0.999898512,0.8333333333333335
MAR04285,0.999894218,0.7777727498981764
MAR01461,0.9998941200000001,0.7071067811865475
MAR04073,0.999892344,0.6859943405700353
MAR08415,0.999889636,0.5773110779622486
MAR08930,0.9998894360000001,0.7746019268574333
MAR01636,0.9998894360000001,0.739111178475
MAR11573,0.999888844,0.7391111784749997
MAR01568,0.9998882839999998,0.8198872070983979
MAR00149,0.9998879519999999,0.8999999999999998
MAR04260,0.9998877400000001,0.6804215147334267
MAR05429,0.999886858,0.8381608288729223
MAR05295,0.999886858,0.739111178475015
MAR07667,0.99988645,0.7505604443807348
MAR00094,0.99988645,0.7391111784750184
MAR03995,0.999886302,0.566963202269124
MAR06406,0.9998860199999999,0.8165021229415473
MAR01483,0.9998860199999999,0.739111178475002
MAR06864,0.9998857859999999,0.7746019268574338
MAR02495,0.9998853459999999,0.8391463916782738
MAR04883,0.9998834599999998,0.5345302584146463
MAR06894,0.9998822799999999,0.750560444380738
MAR00228,0.999880894,0.6201542438732506
MAR08218,0.999880894,0.6201542438732631
MAR05390,0.9998807879999999,0.6172014302367541
MAR00186,0.9998806200000001,0.7999999999999998
MAR01471,0.999878532,0.994753300076786
MAR00181,0.999878328,0.7999999999999998
MAR03982,0.9998762540000001,0.6324626867913213
MAR00145,0.999876212,0.7999999999999998
MAR03238,0.999874548,0.7999999999999998
MAR06874,0.9998717100000001,0.5103103630798288
MAR00152,0.9998714400000001,0.7999999999999998
MAR07064,0.9998707320000001,0.8571387014196336
MAR07595,0.9998704440000001,0.9428090415820635
MAR04531,0.99986754,0.7171475963073961
MAR01786,0.99986675,0.8571387014196397
MAR07928,0.999866336,0.7720768788025645
MAR03908,0.999866076,0.6936785497788569
MAR06770,0.999865226,0.6172014302367467
MAR08038,0.999863972,0.7715279714642043
MAR07958,0.999863382,0.8571387014196344
MAR06648,0.999862946,0.8571387014196351
MAR09875,0.9998617619999999,0.8728715609439696
MAR06321,0.999861486,0.7071067811865475
MAR04108,0.999859482,0.5129814790580743
MAR08751,0.9998591680000001,0.5773698639653465
MAR01589,0.99985772,0.7333925230411125
MAR01948,0.99985719,0.8451665474343147
MAR03996,0.9998548580000002,0.5534098594257144
MAR11225,0.999854772,0.7715279714642197
MAR08698,0.9998546300000001,0.8249559115819708
MAR08757,0.99985377,0.8485281374238569
MAR08036,0.9998535040000001,0.7715279714642277
MAR01126,0.9998533139999999,0.8571387014196328
MAR08037,0.9998531539999999,0.7715279714642255
MAR02960,0.9998524499999999,0.8571387014195961
MAR07061,0.9998521759999999,0.857138701419591
MAR02047,0.999850808,0.8571387014196195
MAR11368,0.999850808,0.857138701419655
MAR09937,0.9998491319999999,0.7715279714642156
MAR03475,0.99984912,0.7303116144265871
MAR02046,0.9998474079999999,0.8571387014195908
MAR01993,0.9998470659999998,0.8571387014196301
MAR02007,0.9998470659999998,0.8571387014196302
MAR00150,0.9998467979999999,0.8999999999999998
MAR01988,0.9998459519999999,0.7715279714642069
MAR01989,0.9998459519999999,0.7715279714642076
MAR04905,0.99984495,0.5
MAR04690,0.999844332,0.6859943405700353
MAR12183,0.9998441,0.8366721956919393
MAR04500,0.9998440599999998,0.44722270214331217
MAR12158,0.999844028,0.8391463916782738
MAR01990,0.9998439299999999,0.7715279714642358
MAR12145,0.9998437159999998,0.8391463916782738
MAR01830,0.9998436039999999,0.7715279714642271
MAR02137,0.9998434279999999,0.8571387014196077
MAR01839,0.999843198,0.7715279714642052
MAR01838,0.999843198,0.8198992655659304
MAR13003,0.999843048,0.6123724356957946
MAR08499,0.999842454,0.8391463916782738
MAR02118,0.999842282,0.8571387014196113
MAR01940,0.9998416000000001,0.8571387014196101
MAR08566,0.999840758,0.771527971464206
MAR04114,0.9998396740000001,0.5999837093752596
MAR12146,0.999839594,0.8999999999999998
MAR07012,0.999837046,0.7715279714642306
MAR01681,0.9998368980000001,0.7715279714642257
MAR01737,0.999835984,0.7715279714642094
MAR07076,0.9998351619999999,0.7171281255981724
MAR01516,0.9998349400000001,0.8391463916782738
MAR12154,0.9998344899999999,0.8391463916782738
MAR05179,0.9998342599999999,0.9098431565585487
MAR05325,0.9998336799999998,0.9152553237716281
MAR07072,0.9998325600000001,0.7715279714642075
MAR01604,0.9998319099999999,0.7715279714642251
MAR11548,0.999831722,0.7715279714642108
MAR11545,0.9998317060000002,0.7715279714642108
MAR00981,0.99983044,0.8571387014195935
MAR02427,0.999828158,0.5
MAR04097,0.9998269799999999,0.6666666666666667
MAR01138,0.9998264320000001,0.7333925230411119
MAR07591,0.9998254939999999,0.7171239530342546
MAR11430,0.99982547,0.6859943405700353
MAR05344,0.999825068,0.7071067811865475
MAR06441,0.999824966,0.7715279714642314
MAR08032,0.999824966,0.7715279714642327
MAR03840,0.999824966,0.7715279714642257
MAR06426,0.999824966,0.7715279714642314
MAR01797,0.999824966,0.7715279714642351
MAR01765,0.999824966,0.7715279714642351
MAR01767,0.999824966,0.7715279714642249
MAR03766,0.999824966,0.7715279714642251
MAR01991,0.999824966,0.7715279714642076
MAR06428,0.999824966,0.9166666666666669
MAR01992,0.999824966,0.7715279714642101
MAR06443,0.999824966,0.9166666666666669
MAR01234,0.999824966,0.7715279714642246
MAR01739,0.999824966,0.7715279714642327
MAR02935,0.999824966,0.7715279714642193
MAR11224,0.999824966,0.7715279714642204
MAR01804,0.999824966,0.7715279714642251
MAR01238,0.999824966,0.7715279714642233
MAR08598,0.999824966,0.7715279714642264
MAR09971,0.999824966,0.7715279714642082
MAR08034,0.999824966,0.7715279714642228
MAR08596,0.999824966,0.7715279714642032
MAR01236,0.999824966,0.7715279714642233
MAR08601,0.999824966,0.7715279714642099
MAR08498,0.999824966,0.7715279714642292
MAR07044,0.999824966,0.7715279714642256
MAR08046,0.999824966,0.7715279714642248
MAR08052,0.999824966,0.7715279714642193
MAR08040,0.999824966,0.7715279714642207
MAR07932,0.999823292,0.8571387014196281
MAR09900,0.9998215119999999,0.6859943405700353
MAR05072,0.9998115280000001,0.8547043234472845
MAR04174,0.9998086199999999,0.6859943405700353
MAR05995,0.999808612,0.9899494936611664
MAR01777,0.9998082,0.7333925230410595
MAR05425,0.9998060320000001,0.8662127035499267
MAR09874,0.999804806,0.7071067811865475
MAR05345,0.9998035679999999,0.9091921880343058
MAR05365,0.999803114,0.892369614796338
MAR01569,0.99980253,0.73339252304106
MAR05341,0.9998017920000001,0.73339252304106
MAR04302,0.999800462,0.74535599497292
MAR03477,0.999800424,0.5999837093752879
MAR11398,0.9998001899999999,0.5999837093752874
MAR07593,0.9997987179999999,0.8728715609439696
MAR05369,0.99979818,0.8547043234472845
MAR05208,0.99979818,0.8547043234472845
MAR05403,0.99979818,0.8547043234472845
MAR05242,0.99979818,0.8547043234472845
MAR05360,0.99979818,0.8547043234472845
MAR05083,0.99979818,0.8547043234472845
MAR04984,0.99979818,0.8547043234472845
MAR05378,0.99979818,0.8547043234472845
MAR00047,0.99979818,0.8547043234472845
MAR05431,0.999797464,0.9219544457292885
MAR08884,0.999797036,0.9486832980505138
MAR05044,0.99979668,0.892369614796338
MAR09928,0.9997952299999999,0.9203579866168443
MAR01596,0.9997949399999999,0.8380760100432195
MAR01075,0.999792916,0.8749872721718884
MAR05343,0.9997928120000001,0.9080855077249617
MAR05359,0.9997927799999999,0.8924461759630943
MAR02300,0.999792248,0.7893583994283276
MAR00116,0.999792248,0.8606694567151066
MAR05356,0.999791626,0.897381812634432
MAR01510,0.999791296,0.7999999999999998
